my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
5,3,True
6,3,True
7,3,True
7,4,True
8,4,True
9,4,True
9,5,True
9,6,True
9,7,True
10,7,True
11,7,True
11,8,True
12,8,True
12,9,True
12,10,True
13,10,True
13,11,True
13,12,True
14,12,True
15,12,True
15,13,True
16,13,True
17,13,True
18,13,True
18,14,True
18,15,True
19,15,True
19,16,True
19,17,True
19,18,True
20,18,True
20,19,True
21,19,True
22,19,True
23,19,True
23,20,True
23,21,True
24,21,True
24,22,True
25,22,True
