my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
5,4,False
5,5,False
6,5,False
7,5,False
7,6,False
8,6,False
8,7,False
9,7,False
9,8,False
9,9,False
9,10,False
10,10,False
11,10,False
12,10,False
12,11,False
12,12,False
12,13,False
13,13,False
13,14,False
13,15,False
14,15,False
15,15,False
15,16,False
16,16,False
17,16,False
17,17,False
17,18,False
18,18,False
18,19,False
18,20,False
19,20,False
19,21,False
20,21,False
20,22,False
21,22,False
21,23,False
22,23,False
22,24,False
23,24,False
24,24,False
25,24,False
25,25,False
26,25,False
26,26,False
26,27,False
26,28,False
