my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
2,3,False
2,4,False
3,4,False
3,5,False
3,6,False
4,6,False
4,7,False
4,8,False
4,9,False
4,10,False
5,10,False
5,11,False
5,12,False
5,13,False
6,13,False
6,14,False
6,15,False
7,15,False
8,15,False
9,15,False
9,16,False
10,16,False
10,17,False
11,17,False
12,17,False
12,18,False
13,18,False
13,19,False
14,19,False
14,20,False
14,21,False
15,21,False
16,21,False
16,22,False
16,23,False
17,23,False
17,24,False
17,25,False
