my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
2,3,False
3,3,False
3,4,False
4,4,False
5,4,False
5,5,False
6,5,False
6,6,False
7,6,False
8,6,False
9,6,False
9,7,False
10,7,False
10,8,False
11,8,False
12,8,False
12,9,False
13,9,False
13,10,False
14,10,False
14,11,False
15,11,False
15,12,False
15,13,False
16,13,False
17,13,False
17,14,False
18,14,False
18,15,False
19,15,False
19,16,False
20,16,False
20,17,False
20,18,False
20,19,False
20,20,False
20,21,False
21,21,False
21,22,False
22,22,False
22,23,False
23,23,False
23,24,False
23,25,False
